time,obs_x,obs_y,filt_x,filt_y
340,740.0360717773438,1193.0335693359375,768.8983243246695,1203.0642674978865
341,735.5553588867188,1190.9781494140625,759.8905150893856,1199.7991276201271
342,737.3568725585938,1185.10107421875,753.8029115835972,1195.828357191324
343,715.4254760742188,1185.771728515625,743.4350089850352,1193.1114964840974
344,698.0452270507812,1181.3228759765625,731.1726774399973,1189.9267274245894
345,698.164794921875,1174.0379638671875,722.2553929369972,1185.6342792505975
346,688.8486328125,1171.4810791015625,713.2303491708584,1181.810704312473
347,664.6008911132812,1167.5205078125,700.0927989966524,1177.950118959139
348,651.7276611328125,1162.566650390625,687.0266565647077,1173.7941793652228
349,636.4683837890625,1157.8311767578125,673.3680251128661,1169.4816750507077
350,638.762939453125,1153.0081787109375,664.0192462595368,1165.0312576832741
351,606.8121948242188,1147.661865234375,648.5644059514251,1160.3388084167677
352,614.73486328125,1142.416748046875,639.4251448543005,1155.4970524783025
353,585.4700927734375,1135.7281494140625,624.8488523727973,1150.1563605136098
354,565.6842041015625,1131.7666015625,608.8651551191224,1145.1882528981453
355,561.6013793945312,1125.7557373046875,596.096552510616,1139.9384380982801
356,537.6428833007812,1120.3905029296875,580.3049306668889,1134.6574419832207
357,530.6259765625,1114.5050048828125,566.8838526163021,1129.2131359161929
358,510.554443359375,1103.57958984375,551.6661127944832,1122.2880742124246
359,513.8543701171875,1099.22900390625,541.4510356285197,1116.0585231292266
360,494.8692932128906,1094.39794921875,528.8666885551327,1110.2067845346064
361,462.81695556640625,1086.211669921875,511.02294289576486,1103.724355267405
362,442.0324401855469,1080.8851318359375,492.38473002845205,1097.5541971830696
363,423.6869201660156,1076.7747802734375,473.8255899521379,1091.9405086258619
364,418.80029296875,1070.4290771484375,458.9601641619937,1086.1290617859845
365,395.36517333984375,1062.8885498046875,441.7795823474698,1079.8504931071598
366,373.8737182617187,1054.27197265625,423.43439134219267,1072.9402969168607
367,359.2527160644531,1047.8895263671875,406.0953130775827,1066.1726756406954
368,358.4359130859375,1040.5430908203125,393.21983011576447,1059.2486840937777
369,336.2436218261719,1034.56640625,377.82735351743844,1052.5806134111394
370,314.8444519042969,1023.1714477539062,360.81213140494776,1044.6355446228756
371,283.7893981933594,1014.933837890625,340.0039615725049,1036.6114440459683
372,245.77276611328125,1007.3724975585938,314.54681876710475,1028.7123610238216
373,233.41580200195312,997.4916381835938,292.6287706125367,1020.2778888094111
374,212.93756103515625,985.3809814453124,271.0996953136424,1010.8502725098906
375,180.16754150390625,977.2553100585938,246.53380910307456,1001.7743847160782
376,172.96701049804688,972.7617797851562,226.65928147241624,993.9364492714118
377,148.50173950195312,958.5687255859376,205.544536004477,984.3816390180211
378,120.01199340820312,947.0003051757812,182.43738830491776,974.2828394724924
379,58.010101318359375,938.8321533203124,148.82258379916343,964.7056163933689
380,25.961700439453125,923.5460815429688,115.63095296350038,953.586112375786
381,8.324249267578125,908.546142578125,86.64138038457725,941.4182847524368
382,4.291534423828125,903.1829223632812,64.39405795160799,931.088764089843
383,0.99957275390625,887.882080078125,47.267643977043974,919.4162100097022
384,0.7738037109375,884.3424682617188,34.70704421538741,909.9408208029027
385,0.721435546875,869.9740600585938,25.525620919350047,899.14355211944
386,1.491668701171875,851.2510986328125,19.032699431782973,886.2051083082539
387,1.405609130859375,841.5485229492188,14.270631489766084,874.1408543725344
